,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,outlier_check
0,0.7,0.0,1.9,0.076,11.0,34.0,3.51,0.56,9.4,5,0
1,0.88,0.0,2.6,0.098,25.0,67.0,3.2,0.68,9.8,5,0
2,0.76,0.04,2.3,0.092,15.0,54.0,3.26,0.65,9.8,5,0
3,0.28,0.56,1.9,0.075,17.0,60.0,3.16,0.58,9.8,6,0
4,0.7,0.0,1.9,0.076,11.0,34.0,3.51,0.56,9.4,5,0
5,0.66,0.0,1.8,0.075,13.0,40.0,3.51,0.56,9.4,5,0
6,0.6,0.06,1.6,0.069,15.0,59.0,3.3,0.46,9.4,5,0
7,0.65,0.0,1.2,0.065,15.0,21.0,3.39,0.47,10.0,7,0
8,0.58,0.02,2.0,0.073,9.0,18.0,3.36,0.57,9.5,7,0
9,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5,5,1
10,0.58,0.08,1.8,0.09699999999999999,15.0,65.0,3.28,0.54,9.2,5,0
11,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5,5,1
12,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,3.58,0.52,9.9,5,0
13,0.61,0.29,1.6,0.114,9.0,29.0,3.26,1.56,9.1,5,1
14,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,3.16,0.88,9.2,5,4
15,0.62,0.19,3.9,0.17,51.0,148.0,3.17,0.93,9.2,5,4
16,0.28,0.56,1.8,0.092,35.0,103.0,3.3,0.75,10.5,7,0
17,0.56,0.28,1.7,0.368,16.0,56.0,3.11,1.28,9.3,5,2
18,0.59,0.08,4.4,0.086,6.0,29.0,3.38,0.5,9.0,4,1
19,0.32,0.51,1.8,0.341,17.0,56.0,3.04,1.08,9.2,6,2
20,0.22,0.48,1.8,0.077,29.0,60.0,3.39,0.53,9.4,6,0
21,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,3.52,0.65,9.7,5,0
22,0.43,0.21,1.6,0.106,10.0,37.0,3.17,0.91,9.5,5,0
23,0.49,0.11,2.3,0.084,9.0,67.0,3.17,0.53,9.4,5,0
24,0.4,0.14,2.4,0.085,21.0,40.0,3.43,0.63,9.7,6,0
25,0.39,0.16,1.4,0.08,11.0,23.0,3.34,0.56,9.3,5,0
26,0.41,0.24,1.8,0.08,4.0,11.0,3.28,0.59,9.5,5,0
27,0.43,0.21,1.6,0.106,10.0,37.0,3.17,0.91,9.5,5,0
28,0.71,0.0,1.9,0.08,14.0,35.0,3.47,0.55,9.4,5,0
29,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,3.38,0.59,9.8,6,0
30,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,3.35,0.54,10.1,5,0
31,0.685,0.0,2.5,0.105,22.0,37.0,3.46,0.57,10.6,6,0
